restaurant_id;r_name;r_geometry;r_oeffnungszeiten;r_telefon;r_email;r_webseite;r_dateipfad_bildname
35;Restaurant Stätz-Damiez;46.75902152102354, 9.539673697765362;09:00-17:00;+41 81 382 15 00;info@staetz-damiez.ch;http://www.staetz-damiez.ch/;Restaurant_Lenzerheide_Bild/Gruppenunterkunft Staetz Damiez Sommer_6706260.png
36;Stivetta im stettli;46.76949484530495, 9.553220338239784;11:00-22:00;+41 81 254 37 10;info@stettli.ch;https://stettli.ch/gastronomie/;Restaurant_Lenzerheide_Bild/stettli_Image_14-1.png
37;Restaurant Tschugga;46.7667603478184, 9.568476355438152;10:00-22:00;+41 81 382 15 53;info@restaurant-tschugga.com;http://www.restaurant-tschugga.com/;Restaurant_Lenzerheide_Bild/Tschugga Parpan_12415147.png
38;Restaurant Berghotel Tgantieni;46.72111617788105, 9.527681141944942;08:00-22:00;+41 81 384 12 86;info@tgantieni.ch;http://www.tgantieni.ch/;Restaurant_Lenzerheide_Bild/Bild 3_6500454.png
39;Sunna Bar;46.721234367407284, 9.530568884272444;;+41 79 615 04 55;theo.hemmi@bluewin.ch;;Restaurant_Lenzerheide_Bild/Sunna Bar in Lenzerheide_12347671.png
40;Gourmet Restaurant Guarda Val;46.71166796141221, 9.540669441944488;11:30-14:00;+41 81 385 85 85;hotel@guardaval.ch;http://www.guardaval.ch/;Restaurant_Lenzerheide_Bild/Hauptbild_4553957.png
41;Restaurant Alpina Stuba;46.758151450752464, 9.560841084660142;18:00-21:30;+41 81 382 01 01;info@hotelalpinaparpan.ch;http://www.hotelalpinaparpan.ch/;Restaurant_Lenzerheide_Bild/AlpinaStuba_04_byFZs.png
42;Rodler Bar;46.777684215029076, 9.543915197766143;15:00-23:00;+41 81 356 21 61;viva@rodlerbar.ch;https://www.rodlerbar.ch/;Restaurant_Lenzerheide_Bild/Rodler Bar Bar_8475460.png
43;Wanner Bar;46.758628221821596, 9.567417726601583;10:30-17:00;+41 79 408 30 84;;http://www.wanner-bar.ch;Restaurant_Lenzerheide_Bild/Wannerbar am Heimberg_9155548.png
44;Freeride Bar;46.76153551518959, 9.574887499619035;;+41 79 193 69 94;;http://www.freeridebar.ch/;Restaurant_Lenzerheide_Bild/Freeride Bar Ferienregion Lenzerheide_227171.png
45;Bergrestaurant Alp Nova;46.73310972048988, 9.521836297764207;08:30-16:30;+41 81 385 51 20;alpnova@arosalenzerheide.swiss;http://www.alp-nova.ch/;Restaurant_Lenzerheide_Bild/Alp Nova Aussen 2_359089.png
47;Restaurant Scuntrada;46.73357670691302, 9.547185;08:00-16:00;+41 78 308 97 79;m_m.obermayr@me.com;;Restaurant_Lenzerheide_Bild/1_7666647.png
48;Bergrestaurant Alp Stätz;46.757860423712046, 9.537355897765297;09:00-17:00;+41 81 385 51 51;gastgeber@alp-staetz.ch;https://www.alp-staetz.ch/;Restaurant_Lenzerheide_Bild/Alp Staetz Terrasse_15823514.png
49;Chilihütta;46.758934221222056, 9.539280311256643;09:00-17:00;+41 77 440 31 87;chilihuetta@vogelgastro.ch;http://www.chilihuetta.ch/;Restaurant_Lenzerheide_Bild/Hauptbild_3027633.png
50;Panoramarestaurant Rothorngipfel;46.742641897827895, 9.597370097764648;08:45-17:00;+41 81 385 51 70;rothorn@huettenzauber.ch;http://www.huettenzauber.ch/de/restaurants/restaurant-rothorngipfel/restaurant;Restaurant_Lenzerheide_Bild/Panoramarestaurant Rothorngipfel_227494.png
51;Goldgräber-Bar;46.74285774967731, 9.573908024747364;08:30-17:00;+41 81 385 52 80;Scharmoin@arosalenzerheide.swiss;https://www.vistagroup.ch/restaurant-ascona/scharmoin;Restaurant_Lenzerheide_Bild/Goldgraeberbar_227656.png
52;zBAR;46.74000147031351, 9.556837397764543;08:30-17:30;+41 81 385 52 00;Scharmoin@arosalenzerheide.swiss;https://www.vistagroup.ch/restaurant-ascona/scharmoin;Restaurant_Lenzerheide_Bild/images.png
53;Motta Hütte;46.76070881710678, 9.589973757291444;09:00-16:30;+41 81 385 51 60;restaurant.mottahuette@arosalenzerheide.swiss;https://www.vistagroup.ch/skihuette-lenzerheide;Restaurant_Lenzerheide_Bild/Motta Huette Lenzerheide im Winter_9735882.png
54;Kuhstall Schamuela;46.750348720868104, 9.537012639105042;09:00-16:30;+41 81 384 11 11;schamuela@huettenzauber.ch;https://www.huettenzauber.ch/de/restaurants/schamuela;Restaurant_Lenzerheide_Bild/Restaurant Schamuela_16723699.png
55;Restaurant Heimberg;46.759778116981316, 9.563322738239288;08:30-17:00;+41 81 356 23 23;info@restaurant-heimberg.ch;http://www.restaurant-heimberg.ch/;Restaurant_Lenzerheide_Bild/Heimberg_Sommer_Terrasse_2017_17083807.png
56;Kiosk am Heimberg;46.75936652201238, 9.563548043800077;09:00-16:30;+41 78 760 52 54;berggnuss@bluewin.ch;https://www.berggnuss.ch/de-de/winter-de#heimberg;Restaurant_Lenzerheide_Bild/1_6562936.png
57;Bergrestaurant Piz Scalottas;46.7216988871812, 9.510741853582632;09:00-16:00;+41 81 385 51 10;bettina.bernhofer@arosalenzerheide.swiss;http://www.pizscalottas.ch/;Restaurant_Lenzerheide_Bild/Scalottas aussen Winter_891893.png
58;Avant Clavo Bar & Grill;46.73193109122177, 9.54212557263519;09:00-18:00;+41 79 700 78 95;avantclavo@gmx.ch;https://www.avantclavo.ch/;Restaurant_Lenzerheide_Bild/Avant Clavo Winter 2_228013.png
59;Freeflow @ Scharmoin;46.74230934154668, 9.573418453583535;08:30-17:00;+41 81 385 51 80;Scharmoin@arosalenzerheide.swiss;https://www.vistagroup.ch/restaurant-ascona/scharmoin;Restaurant_Lenzerheide_Bild/Bergrestaurant Scharmoin Lenzerheide Winter_227362.png
